"rt","trialNumber","reportChasing","chasingIsPresent","isVolatile","miniBlock","video_name","key_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolificID","proj_name","exp_version","value","test_part","user_agent","trial_part","interaction_data","browser"
"1110.8000000715256","1","1","0","practice","practice","trial_7.mp4","KeyJ","html-button-response","1","2019","0.0-1.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"250.20000004768372","2","1","0","0","miniBlockStable","trial_2.mp4","KeyJ","html-button-response","3","3211","0.0-3.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"1572.1000000238419","3","0","0","0","miniBlockStable","trial_6.mp4","KeyF","html-button-response","5","5705","0.0-5.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"331","4","1","1","1","miniBlockChasingIsDominant_Not","trial_6.mp4","KeyJ","html-button-response","7","6961","0.0-7.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"282.1999999284744","5","1","1","1","miniBlockChasingIsDominant_Not","trial_5.mp4","KeyJ","html-button-response","9","8150","0.0-9.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"152.29999995231628","6","1","1","1","miniBlockChasingIsDominant_Yes","trial_1.mp4","KeyJ","html-button-response","11","9208","0.0-11.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"500","7","1","0","1","miniBlockChasingIsDominant_Yes","trial_9.mp4","KeyJ","html-button-response","13","10625","0.0-13.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"415.40000009536743","8","1","1","0","miniBlockStable","trial_10.mp4","KeyJ","html-button-response","15","11956","0.0-15.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"320.10000002384186","9","1","0","0","miniBlockStable","trial_4.mp4","KeyJ","html-button-response","17","13195","0.0-17.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"202.70000004768372","10","0","0","","","trial_5.mp4","KeyF","html-button-response","19","14321","0.0-19.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"183.70000004768372","11","1","0","","","trial_1.mp4","KeyJ","html-button-response","21","15420","0.0-21.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"110.70000004768372","12","1","0","","","trial_10.mp4","KeyJ","html-button-response","23","16453","0.0-23.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"277.39999997615814","13","1","0","","","trial_8.mp4","KeyJ","html-button-response","25","17651","0.0-25.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"687.6999999284744","14","1","1","","","trial_9.mp4","KeyJ","html-button-response","27","19269","0.0-27.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"548.2999999523163","15","1","1","","","trial_2.mp4","KeyJ","html-button-response","29","20737","0.0-29.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"465.7000000476837","16","1","0","","","trial_3.mp4","KeyJ","html-button-response","31","22168","0.0-31.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"345.8000000715256","17","1","1","","","trial_4.mp4","KeyJ","html-button-response","33","23444","0.0-33.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"283.3000000715256","18","1","1","","","trial_8.mp4","KeyJ","html-button-response","35","24657","0.0-35.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"594.1999999284744","19","1","1","","","trial_7.mp4","KeyJ","html-button-response","37","26166","0.0-37.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"629.0999999046326","20","1","1","","","trial_3.mp4","KeyJ","html-button-response","39","27710","0.0-39.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"465.10000002384186","21","1","0","","","trial_7.mp4","KeyJ","html-button-response","41","29092","0.0-41.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"NA","22","0","0","","","trial_2.mp4","","html-button-response","43","35044","0.0-43.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"NA","23","0","0","","","trial_6.mp4","","html-button-response","45","40959","0.0-45.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"186.69999992847443","24","1","1","","","trial_6.mp4","KeyJ","html-button-response","47","42054","0.0-47.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"230.10000002384186","25","1","1","","","trial_5.mp4","KeyJ","html-button-response","49","43190","0.0-49.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"278.60000002384186","26","0","1","","","trial_1.mp4","KeyF","html-button-response","51","44376","0.0-51.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"256.89999997615814","27","1","0","","","trial_9.mp4","KeyJ","html-button-response","53","45538","0.0-53.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"280.6999999284744","28","0","1","","","trial_10.mp4","KeyF","html-button-response","55","46723","0.0-55.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"671.3999999761581","29","1","0","","","trial_4.mp4","KeyJ","html-button-response","57","48317","0.0-57.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"1263.6999999284744","30","0","0","","","trial_5.mp4","KeyF","html-button-response","59","50508","0.0-59.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"1972.7999999523163","31","1","0","","","trial_1.mp4","KeyJ","html-button-response","61","53386","0.0-61.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"1856.9000000953674","32","0","0","","","trial_10.mp4","KeyF","html-button-response","63","56150","0.0-63.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"470.89999997615814","33","1","0","","","trial_8.mp4","KeyJ","html-button-response","65","57526","0.0-65.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"432","34","0","1","","","trial_9.mp4","KeyF","html-button-response","67","58862","0.0-67.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"333.3000000715256","35","0","1","","","trial_2.mp4","KeyF","html-button-response","69","60101","0.0-69.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"344.7999999523163","36","0","0","","","trial_3.mp4","KeyF","html-button-response","71","61349","0.0-71.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"642.6000000238419","37","0","1","","","trial_4.mp4","KeyF","html-button-response","73","62900","0.0-73.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"784.8999999761581","38","0","1","","","trial_8.mp4","KeyF","html-button-response","75","64589","0.0-75.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"493.2999999523163","39","0","1","","","trial_7.mp4","KeyF","html-button-response","77","65989","0.0-77.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"429.89999997615814","40","0","1","","","trial_3.mp4","KeyF","html-button-response","79","67323","0.0-79.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","",""
"","","","","","","","","call-function","80","67325","0.0-80.0","msmh3fme","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","summary","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","interaction_data","[{""event"":""fullscreenenter"",""trial"":2,""time"":2074}]","Chrome 140"
